                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1205,                0.59659,                 1.1291,                0.97296,                0.95707,                 0.9855,                 0.6557,                 1.2646,                0.54986,                 1.2783,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.1077,                0.57792,                 1.1084,                0.96369,                0.98818,                0.99133,                0.66044,                   1.25,                0.53157,                 1.2518,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.0902,                0.56957,                 1.1026,                0.97107,                 0.9734,                0.98376,                0.62602,                 1.2899,                0.58138,                 1.2919,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.0854,                0.57305,                 1.0949,                0.97341,                0.96277,                0.98933,                0.66151,                 1.1899,                0.51906,                 1.2124,                0.00101,                0.00101,                0.00101
                     28,                 1.0654,                0.56101,                 1.0973,                0.96329,                0.97696,                0.99131,                0.66026,                 1.2237,                0.53126,                  1.215,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.0596,                0.55624,                 1.0921,                 0.9763,                0.96277,                0.98851,                0.67445,                 1.2254,                0.53992,                 1.2277,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.0323,                0.53447,                 1.0763,                0.98912,                0.96715,                0.98829,                0.63875,                 1.2918,                0.54307,                 1.2935,              0.0008912,              0.0008912,              0.0008912
                     31,                  1.024,                0.52993,                  1.074,                0.98265,                0.97872,                0.99029,                0.66649,                 1.2462,                 0.5165,                  1.231,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.0272,                0.53082,                 1.0735,                0.97153,                0.96809,                0.99182,                 0.6553,                 1.2222,                0.49684,                 1.2215,               0.000812,               0.000812,               0.000812
                     33,                 1.0277,                0.52851,                  1.066,                0.98386,                0.97256,                0.99172,                0.65323,                 1.2923,                0.49968,                 1.2729,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.0049,                0.51167,                 1.0615,                0.97831,                 0.9734,                0.98438,                0.66674,                 1.2761,                0.50368,                 1.2689,              0.0007328,              0.0007328,              0.0007328
                     35,                0.99212,                0.51849,                 1.0542,                0.99278,                0.96809,                0.99275,                0.67094,                 1.2268,                0.49472,                 1.2262,              0.0006932,              0.0006932,              0.0006932
                     36,                0.95774,                0.50009,                 1.0385,                0.97882,                0.98345,                0.99161,                0.66685,                 1.2136,                0.48013,                 1.2364,              0.0006536,              0.0006536,              0.0006536
                     37,                0.95789,                0.50322,                 1.0428,                0.98936,                 0.9888,                0.99137,                0.68032,                 1.2237,                0.47532,                 1.2301,               0.000614,               0.000614,               0.000614
                     38,                0.96329,                0.48795,                 1.0413,                0.99358,                 0.9734,                 0.9914,                0.67912,                 1.1953,                0.46665,                 1.2087,              0.0005744,              0.0005744,              0.0005744
                     39,                0.93856,                0.47818,                 1.0286,                 0.9788,                0.98233,                0.99344,                0.68199,                 1.2149,                0.47797,                 1.2205,              0.0005348,              0.0005348,              0.0005348
                     40,                0.93015,                0.47641,                 1.0255,                0.99462,                0.98272,                0.99292,                0.67495,                 1.2268,                0.47305,                 1.2294,              0.0004952,              0.0004952,              0.0004952
                     41,                0.87574,                0.40473,                 1.0073,                0.98852,                0.97872,                0.99259,                0.69098,                 1.2206,                0.48003,                 1.2131,              0.0004556,              0.0004556,              0.0004556
                     42,                0.85618,                0.39626,                0.99435,                0.98851,                0.98404,                0.99364,                0.68079,                  1.217,                0.47689,                 1.2122,               0.000416,               0.000416,               0.000416
                     43,                0.84689,                0.39014,                0.99098,                0.98812,                0.98404,                0.99367,                0.69317,                 1.1966,                 0.4616,                 1.2037,              0.0003764,              0.0003764,              0.0003764
                     44,                  0.834,                0.38078,                0.98877,                0.97611,                 0.9734,                0.99108,                0.68841,                 1.2217,                0.47452,                 1.2157,              0.0003368,              0.0003368,              0.0003368
                     45,                0.81931,                0.37601,                0.97708,                0.97254,                0.99468,                0.99281,                0.69442,                 1.2098,                0.46351,                 1.2365,              0.0002972,              0.0002972,              0.0002972
                     46,                 0.8013,                0.36829,                0.97534,                0.97852,                0.98404,                0.99256,                 0.6962,                 1.1937,                0.45337,                 1.2167,              0.0002576,              0.0002576,              0.0002576
                     47,                0.78346,                0.36428,                0.96826,                0.98939,                0.99168,                0.99329,                0.70368,                 1.1799,                0.44868,                 1.2044,               0.000218,               0.000218,               0.000218
                     48,                0.77867,                0.35533,                0.95894,                0.98234,                0.98404,                 0.9918,                0.69692,                 1.1875,                0.44787,                 1.2091,              0.0001784,              0.0001784,              0.0001784
                     49,                0.76129,                0.35142,                0.95877,                0.98934,                0.98714,                0.99148,                0.69628,                 1.1815,                0.44119,                 1.2098,              0.0001388,              0.0001388,              0.0001388
                     50,                 0.7469,                0.34513,                0.95074,                0.98936,                0.98877,                0.99139,                0.69596,                 1.1787,                 0.4476,                 1.2025,               9.92e-05,               9.92e-05,               9.92e-05
